	SRR8134496	SRR8134484	SRR8134499	SRR8134480	SRR8134485	SRR8134483	SRR8134482	SRR8134481	SRR8134500	SRR8134497	SRR8134501	SRR8134498
MAD2L1-DT	14	262	9	353	574	383	230	443	13	8	8	6
ENSG00000289849	0	0	0	0	0	1	0	5	0	0	0	0
ENSG00000287642	0	7	0	5	10	13	10	14	0	0	0	0
FRG1-DT	12	115	13	144	259	178	98	167	30	14	15	16
ENSG00000250915	0	0	0	0	3	1	0	0	0	0	0	0
FLJ20021	12	81	26	79	204	181	89	139	29	32	67	25
ENSG00000289532	10	303	9	307	580	573	252	423	10	2	10	1
KLF3-AS1	23	58	24	94	87	91	57	97	17	27	20	21
LINC01091	0	28	0	55	89	63	28	79	1	0	2	2
ENSG00000288998	4	134	5	148	332	212	116	188	10	6	9	7
LINC00499	0	48	11	73	86	148	77	94	5	3	4	9
LINC01060	0	5	0	6	18	11	3	12	1	0	2	0
ENSG00000283183	0	3	0	8	7	8	6	8	1	0	0	0
STIM2-AS1	5	59	3	65	163	113	63	123	3	5	4	4
ENSG00000289951	0	2	0	1	2	2	0	0	0	0	0	0
TENM3-AS1	1	9	0	11	16	16	6	20	2	0	0	0
STX18-AS1	168	110	102	159	238	178	101	216	178	106	103	142
LINC02232	0	12	0	11	25	18	6	9	0	0	0	0
HHIP-AS1	2	4	1	3	16	6	6	3	4	1	2	0
LINC01088	0	27	2	50	63	45	22	42	2	2	1	0
NOP14-AS1	721	598	413	843	1466	987	490	1086	874	589	529	464
PPM1K-DT	6	43	5	62	103	68	32	70	3	2	9	3
UBE2D3-AS1	24	19	11	24	53	24	10	33	23	12	13	14
UBA6-DT	328	104	190	120	180	137	61	171	392	188	219	290
ENSG00000289515	6	22	3	34	32	24	15	38	5	3	0	2
ENSG00000282917	1	5	0	8	17	16	9	23	0	0	0	1
SEC24B-AS1	27	118	5	153	249	206	107	173	22	10	5	8
ENSG00000288913	27	52	9	68	138	95	57	101	11	15	8	12
SCOC-AS1	72	67	37	68	104	90	48	118	77	38	39	45
ENSG00000289999	0	0	0	0	2	0	1	0	0	0	0	0
CYP2U1-AS1	6	30	3	29	33	78	19	43	11	11	3	3
LINC00989	0	7	0	11	37	16	7	27	0	1	0	0
ENSG00000289508	0	1	0	0	1	1	0	2	0	0	0	0
H2AZ1-DT	15	148	17	150	259	238	113	217	29	7	14	11
ENSG00000288659	0	4	0	3	4	4	1	4	0	0	0	0
ENSG00000290012	0	0	0	1	0	3	1	0	0	0	0	0
SNHG8	1843	322	1379	474	665	528	338	577	1945	1130	1357	1520
ENSG00000289643	0	1	0	1	1	4	1	9	0	0	0	0
ENSG00000289342	0	7	0	4	16	6	4	9	0	0	0	0
ENSG00000289308	0	1	0	2	3	3	1	2	0	0	0	0
EPHA5-AS1	0	0	0	0	3	7	4	1	0	0	0	0
ENSG00000290022	0	0	0	0	0	0	2	0	0	0	0	0
MIR302CHG	4	0	3	1	5	2	3	0	2	2	5	3
TMED11P	0	0	0	4	2	1	3	1	0	0	0	0
MTNR1A	0	14	0	8	25	28	7	23	1	0	0	0
RNY1P14	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000248335	0	2	0	2	6	4	0	0	0	0	0	0
ENSG00000273472	22	57	14	62	106	95	42	91	15	29	22	8
Y_RNA	0	5	0	1	1	2	0	1	0	0	0	0
TBC1D9	578	53	264	111	124	107	52	88	380	512	414	181
RNF4	3253	407	1683	446	708	643	305	515	3563	2142	2116	2278
ENSG00000290180	0	0	0	0	0	0	0	0	0	0	0	0
SCFD2	1130	108	459	148	284	202	98	186	1253	619	524	897
RNU6-310P	0	0	0	1	0	1	0	0	0	0	0	0
LNX1	16	12	16	26	33	39	12	23	23	11	11	16
LNX1-AS1	0	2	1	5	7	1	5	6	0	0	0	0
COMMD5P1	2	1	1	3	0	2	0	3	3	1	1	0
LNX1-AS2	0	2	0	2	3	6	1	4	0	0	0	0
ENSG00000249341	0	14	0	9	15	34	16	19	0	0	0	1
ENSG00000249706	0	2	0	3	5	7	5	4	0	0	0	0
ENSG00000250815	0	2	2	0	1	0	1	3	0	0	1	0
RPL21P44	4	1	3	1	1	0	3	1	12	2	4	6
ENSG00000272650	1	3	4	1	4	2	0	7	2	3	5	0
CHIC2	233	74	197	85	140	103	38	108	222	233	248	132
ENSG00000269506	0	32	0	34	53	45	13	47	0	0	2	0
ENSG00000287534	1	14	0	20	23	23	11	23	3	0	0	2
ENSG00000251105	0	0	0	0	2	0	0	1	0	0	0	0
MORF4L2P1	0	0	0	0	0	5	1	1	0	0	1	0
FIP1L1	915	240	466	319	497	386	233	344	780	456	467	592
LINC02273	3	19	2	50	29	37	19	60	4	1	1	0
ENSG00000287504	0	8	0	13	14	14	9	15	0	0	0	0
ENSG00000250706	1	2	0	0	3	6	0	4	1	0	0	0
ENSG00000251377	1	9	1	22	24	9	7	15	1	0	0	2
RN7SL446P	0	1	0	1	4	2	1	2	0	0	0	0
ENSG00000270302	3	7	0	5	10	9	3	7	0	1	2	0
ENSG00000270883	1	3	2	6	11	7	5	13	2	1	1	1
FBXW7	2447	382	1550	527	892	655	344	682	2042	1651	1726	1383
FBXW7-AS1	0	2	0	4	4	2	1	1	0	2	1	0
ENSG00000287555	8	62	2	80	138	118	77	117	10	19	14	1
MIR3140	0	0	0	2	4	3	1	2	0	0	0	0
MIR4453HG	125	436	41	593	1170	849	401	855	114	36	54	64
MIR4453	0	0	0	0	0	0	0	0	0	0	0	0
RPS3AP18	42	116	16	150	269	171	129	192	34	23	19	41
ENSG00000240669	3	2	0	2	3	4	0	1	3	1	0	0
ENSG00000248571	21	83	2	85	140	77	32	135	32	32	18	7
TIGD4	11	69	4	91	85	94	37	116	18	10	5	7
SLC10A4	2	6	0	4	18	15	3	12	1	18	2	1
ZAR1	0	6	0	7	0	4	4	12	2	1	0	0
FRYL	2556	205	1034	296	470	365	193	353	1865	1514	1316	1346
RNU5E-3P	0	2	0	0	1	1	1	1	0	0	0	0
GALNT7-DT	29	204	39	220	311	367	180	326	34	31	50	23
RN7SL253P	1	1	0	0	1	3	0	0	0	0	0	0
GALNT7	839	49	604	76	104	98	38	72	731	559	477	688
ENSG00000290017	0	6	0	5	17	18	4	10	1	0	2	0
ENSG00000288728	19	229	8	315	451	316	214	403	19	15	19	9
SAP30-DT	42	230	99	308	691	564	257	421	34	73	106	29
ENSG00000286039	49	12	2	45	41	27	16	56	24	36	14	9
ENSG00000288776	0	5	0	6	9	12	2	3	0	0	0	0
HAND2-AS1	0	27	2	45	72	64	27	64	0	0	1	0
RNU6-1054P	0	0	0	0	0	0	0	0	0	0	0	0
CICP16	5	1	2	1	2	8	0	3	6	2	0	2
SEPTIN14P4	0	0	1	0	0	0	0	0	1	0	2	0
METTL14-DT	18	56	19	79	142	112	45	126	16	15	31	14
METTL14	628	100	358	161	215	167	89	171	562	331	350	398
Y_RNA	0	0	0	0	1	0	0	0	0	0	0	0
GLRB	0	5	1	6	22	18	3	14	0	0	0	1
RNU6-582P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249819	0	4	0	0	3	1	0	0	0	0	0	0
ENSG00000260091	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1217P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250950	1	0	0	1	0	3	1	3	0	0	2	0
PDE5A	31	38	13	64	92	60	46	48	22	14	16	22
ENSG00000221245	0	0	0	1	3	3	0	1	0	0	0	0
ENSG00000286241	0	4	0	5	15	12	10	13	1	1	0	0
ENSG00000289865	6	280	1	416	643	516	276	512	5	2	4	2
HAUS3	51	8	32	17	12	25	15	20	43	51	50	29
ENSG00000250613	0	0	1	0	4	1	2	1	1	0	2	0
ZNF518B	566	58	389	67	104	69	41	94	468	427	384	389
ENSG00000248419	0	0	0	3	0	4	0	1	0	0	0	0
CRACD	8	13	3	15	22	47	15	38	10	1	6	4
ENSG00000289393	31	150	8	216	236	210	133	260	33	9	5	17
SRP72	4059	84	2104	136	234	155	92	173	3962	2471	2711	2751
BIN2P1	4	2	3	5	0	5	1	10	4	7	0	4
VAMP9P	0	4	0	2	27	18	7	11	1	0	0	0
ENSG00000273156	5	3	2	10	17	9	8	10	4	4	12	0
ENSG00000289480	5	3	8	5	19	2	8	1	3	4	8	3
HNRNPD	14182	308	7083	376	584	412	245	486	14723	8903	9117	9407
HNRNPD-DT	21	109	12	186	254	151	85	219	15	11	7	6
IGBP1P4	1	2	0	4	1	1	0	6	1	1	1	1
SNORD42	0	1	0	0	0	0	0	0	0	0	0	0
HNRNPDL	9386	373	3907	519	718	552	306	566	8855	4587	4284	6051
ENSG00000290316	0	0	0	0	0	0	0	0	0	0	0	0
KLKB1	0	0	0	2	5	4	0	0	0	0	0	0
ENSG00000287667	0	0	0	1	4	7	3	1	0	0	0	0
SLC25A5P6	24	1	6	0	5	3	1	5	26	9	5	17
SLC25A31	1	4	0	3	13	6	5	14	0	0	0	0
HSPA4L	694	278	374	337	539	493	262	472	633	389	440	479
ENSG00000282855	6	1	6	3	6	2	2	2	1	4	2	4
RPL21P53	15	0	0	1	3	0	0	0	11	1	0	3
ENSG00000261668	0	13	15	21	15	38	16	16	1	3	4	2
PLK4	1201	173	442	202	383	281	162	294	1028	610	582	598
RNU6-583P	1	0	0	1	0	1	2	6	0	3	0	0
MFSD8	419	155	276	145	250	255	142	198	403	221	295	261
RPL15P8	76	0	39	2	5	4	4	9	86	49	45	55
FOSL1P1	0	2	1	4	0	4	0	1	0	0	3	1
PGRMC2	866	315	625	392	580	475	245	409	833	631	782	581
LINC02615	25	22	47	31	55	28	17	47	17	17	30	20
ENSG00000273077	0	16	0	10	16	5	4	6	0	0	0	0
LARP1B	555	208	402	191	359	322	174	287	642	360	443	479
RNU6-1336P	0	2	0	0	0	0	1	0	0	0	0	0
RPL9P16	0	2	0	0	1	0	1	0	0	0	0	1
ENSG00000249609	0	4	0	1	6	2	1	1	0	0	0	0
ENSG00000279384	0	1	2	1	5	0	4	2	1	0	0	0
CBR4	719	101	352	191	220	184	101	200	631	414	484	413
RNU6-853P	0	0	0	0	0	1	1	0	1	0	0	0
RNY4P17	0	0	0	1	2	1	0	6	0	0	0	0
CBR4-DT	0	22	0	32	90	41	29	45	0	0	0	0
PALLD	24	40	27	43	82	44	32	68	52	29	34	18
ENSG00000249679	79	56	69	108	130	126	70	128	59	88	96	53
PDLIM3	41	31	64	48	50	73	40	61	40	25	16	64
SLC4A4	12	28	27	39	73	64	30	45	23	13	18	26
RAPGEF2	1110	179	558	273	357	309	140	327	1288	885	1008	604
TMEM154	1209	184	540	276	385	288	187	361	955	1113	849	530
NSA2P6	8	9	5	1	2	10	0	4	10	5	8	8
ENSG00000288637	0	34	1	51	69	70	19	59	0	1	0	0
FAM86EP	0	0	0	0	0	0	0	0	0	0	0	0
FAM86EP	39	84	17	83	118	81	70	75	58	10	19	38
OR7E94P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290776	0	1	0	0	0	1	1	0	0	0	0	0
JAKMIP1-DT	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000290803	39	40	19	70	89	58	43	91	24	24	12	7
ENSG00000283156	1	6	0	26	22	19	9	20	0	0	3	0
ENSG00000284727	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290888	0	4	0	3	5	0	6	1	0	0	0	0
PPBPP2	0	0	0	0	0	0	0	0	0	0	0	0
PPBPP2	0	3	0	0	6	3	0	4	0	0	0	0
ENSG00000260404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291201	291	27	104	49	67	73	45	91	242	184	102	177
GTF2IP12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291202	146	55	82	108	140	125	59	135	152	126	105	107
SEPTIN7P14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291203	237	50	117	111	159	145	80	123	195	187	183	129
ANK2	167	309	202	347	615	586	283	445	170	124	180	184
FAM241A	450	64	301	76	104	102	49	142	353	330	386	207
NKX6-1	0	3	0	7	7	9	4	6	0	0	0	1
RPL3P13	4	3	0	0	0	0	0	3	6	1	0	3
CDS1	1	4	7	16	17	8	2	15	0	0	3	0
WDFY3	71	34	22	30	93	66	27	70	80	39	23	33
RN7SL552P	0	0	0	0	0	0	0	0	0	0	0	0
WDFY3-AS1	0	0	0	0	2	0	0	0	0	0	0	0
RNU6-469P	0	0	0	0	1	0	0	0	0	0	0	0
WDFY3-AS2	0	14	0	41	25	37	12	20	0	0	0	2
ENSG00000286189	0	1	0	1	0	2	0	0	0	0	0	0
CAMK2D	1022	366	1098	439	857	672	308	563	1280	1003	1337	858
CLCN3	933	236	523	370	644	499	263	493	883	638	650	604
PTGES3P3	91	0	52	1	2	1	2	4	102	41	70	70
ENSG00000248625	2	5	3	4	0	3	3	0	1	0	1	2
ENSG00000287660	0	0	0	1	1	3	0	2	0	0	0	0
ENSG00000288003	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000287298	0	2	0	2	0	3	0	3	0	0	0	0
ENSG00000290263	1	0	0	3	3	5	1	1	0	0	3	0
CRMP1	55	12	24	5	12	16	10	11	40	24	26	30
ENSG00000289414	0	1	1	0	0	0	0	0	0	0	0	0
TMPRSS11GP	0	2	0	9	6	3	1	7	0	0	0	0
ENSG00000290400	0	0	0	0	0	1	0	0	0	0	0	0
RNU6-95P	0	0	0	0	0	0	0	1	1	0	0	0
POLR2MP1	25	0	11	4	2	1	1	1	32	12	28	15
MTND2P41	0	2	0	0	4	5	1	2	0	0	0	0
TMPRSS11F	0	11	0	8	10	7	5	10	0	0	0	0
SYT14P1	0	2	0	2	2	0	1	0	0	0	0	0
FTLP10	0	2	0	2	2	2	2	4	0	0	0	0
TMPRSS11BNL	0	2	0	1	3	0	0	1	0	0	0	0
ENSG00000290407	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291282	0	6	1	6	7	4	8	7	0	0	0	0
TMPRSS11B	0	4	0	7	26	5	3	20	0	0	0	0
ENSG00000250642	0	0	0	3	0	2	0	3	0	0	0	0
ENSG00000248639	0	0	0	3	6	5	3	0	0	0	0	0
ENSG00000249531	0	2	0	3	2	3	1	1	0	0	0	0
APOOP4	1	0	0	4	1	0	0	4	2	2	0	2
YTHDC1	2428	140	1370	158	238	223	117	212	2114	1634	1579	1504
MT2P1	45	2	18	2	4	2	1	1	65	14	13	32
ENSG00000289942	0	0	0	0	0	0	0	1	2	0	0	0
TMPRSS11E	2	8	1	8	16	12	5	13	0	5	1	0
ACSL1	2930	103	1348	134	276	245	110	172	3148	1574	1728	1972
MIR3945HG	16	49	14	63	134	98	52	59	22	4	34	7
LINC01093	1	38	0	45	86	93	44	52	2	0	1	1
ENSG00000289197	0	2	0	2	6	3	1	4	0	0	1	0
ENSG00000250609	0	4	0	1	0	1	1	4	0	0	0	0
PLRG1	2284	50	941	70	89	75	47	90	2360	1172	1157	1549
RNU6-1285P	0	2	0	0	0	0	1	0	1	0	1	0
ENSG00000248611	0	3	0	1	10	0	3	5	0	0	0	0
FGB	0	6	0	21	8	9	6	15	0	2	0	0
FGA	0	8	0	8	27	7	2	12	0	0	0	0
FGG	0	7	0	8	14	6	3	14	0	0	0	0
ENSG00000287770	0	0	0	0	2	0	1	1	0	0	0	0
FGF2	149	69	110	98	118	91	61	177	117	96	89	82
ENSG00000244459	1	2	0	6	7	8	6	3	2	0	1	0
FGFR3	3	3	7	11	14	11	4	2	2	2	15	1
SPON2	230	189	133	263	407	236	132	327	172	426	446	62
GAB1	129	101	120	110	234	227	121	167	108	142	149	78
RPSAP36	17	1	9	1	8	10	5	1	15	12	2	12
ENSG00000250540	0	0	0	0	1	2	2	0	0	0	1	0
SMARCA5-AS1	31	115	10	116	246	168	97	175	28	14	24	22
QDPR	503	19	203	36	59	30	16	46	494	321	356	316
UGDH-AS1	28	18	11	21	42	21	26	24	27	25	29	19
SMIM14	685	82	1446	120	204	186	95	183	1178	634	994	1067
ENSG00000286349	2	95	8	118	233	258	151	147	2	3	2	8
RNU7-11P	0	0	0	3	3	2	2	0	0	0	0	0
UBE2K	2348	125	1461	134	256	183	105	253	1985	1622	1642	1399
Y_RNA	0	5	0	5	18	12	3	14	0	0	0	0
ENSG00000249019	0	36	0	37	92	85	31	62	0	1	1	0
RN7SL558P	0	4	1	2	4	7	4	4	1	2	5	0
ZBTB12BP	6	3	6	5	3	11	4	3	5	8	13	1
SMIM14-DT	11	82	12	119	191	156	91	192	4	10	1	8
PDS5A	2942	226	1886	274	462	383	201	382	2778	2073	2050	1847
ELOCP33	0	20	4	18	37	58	29	22	0	2	1	0
RNA5SP159	0	3	0	6	7	14	3	3	0	0	1	0
ENSG00000250568	186	4	178	0	13	5	3	12	167	228	207	135
PABPC1P1	9	12	8	11	11	22	2	4	6	1	8	4
KRT18P25	0	0	0	2	1	2	3	9	0	0	0	0
ENSG00000205794	115	39	83	64	59	79	41	60	148	98	86	93
RNU6-1112P	0	0	0	2	0	3	0	1	0	0	0	0
ENSG00000201863	0	1	0	0	0	0	0	0	0	0	0	1
N4BP2	414	88	276	127	180	162	68	177	334	293	277	223
TBC1D14	706	145	334	227	308	236	142	274	811	525	495	585
ENSG00000287104	52	127	15	175	208	232	127	197	39	33	28	32
ENSG00000187904	0	3	0	3	7	2	3	3	0	1	0	0
RN7SKP292	0	0	0	0	1	2	3	1	1	0	0	0
ENSG00000245748	12	25	1	42	67	54	30	70	7	6	6	5
CCDC96	29	24	7	27	32	40	20	58	34	12	14	24
TADA2B	1000	88	494	115	160	135	74	152	1038	812	763	654
GRPEL1	1518	94	746	135	253	181	87	189	1700	776	795	1103
LINC02447	0	27	1	59	60	63	38	68	1	4	5	1
RN7SKP36	0	0	0	0	0	1	0	1	0	0	0	0
MIR4798	0	0	0	0	0	0	0	0	0	0	0	0
PSAPL1	6	4	0	5	8	5	4	6	1	1	1	0
RAB33B	205	68	181	94	149	143	76	120	173	209	223	143
TIFA	2915	348	1648	427	869	891	423	623	2561	2044	2206	1919
GRIA2	30	17	12	20	35	32	12	40	21	13	9	17
RN7SKP30	1	1	0	2	6	5	0	1	1	8	5	0
ENSG00000272969	0	119	0	192	274	203	125	217	2	0	3	1
PDCL2	0	10	0	6	12	20	9	8	0	0	0	0
NMU	1	4	4	3	12	9	4	2	0	0	0	1
RNU6-276P	0	2	0	0	0	0	1	0	0	0	0	0
EXOC1L	0	2	0	1	13	2	0	2	0	0	0	0
EXOC1	653	77	393	114	172	137	56	139	610	363	494	460
RNU6-652P	1	0	0	1	6	4	1	4	1	1	0	0
ENSG00000286599	16	5	15	15	16	21	17	8	13	15	12	12
ENSG00000287382	32	100	29	103	176	174	58	134	48	5	11	54
CEP135	485	133	276	170	305	243	132	206	449	291	248	288
ENSG00000290817	0	21	0	41	87	56	28	58	0	1	0	1
SORBS2	179	277	45	323	568	394	208	449	224	107	128	63
INPP4B	47	39	9	43	96	94	18	102	32	16	7	2
FAM149A	21	57	34	36	98	76	35	34	70	9	35	33
PRDM8-AS1	1	2	0	0	13	8	7	11	0	0	0	0
PRDM8	22	51	19	63	104	78	30	93	17	23	26	9
FGF5	0	9	0	10	29	22	10	11	3	0	1	0
LINC01094	1	66	1	80	111	97	57	109	7	0	11	4
CC2D2A	16	39	19	50	94	80	32	76	15	8	18	9
NAA15	2423	63	1067	98	164	128	59	150	1984	1149	1047	1516
THEGL	0	5	1	12	6	18	5	16	0	0	0	0
GLDCP1	120	1	24	4	2	4	0	4	119	84	54	49
ENSG00000280285	0	2	0	5	10	8	5	9	0	0	0	0
ENSG00000288944	0	4	0	3	12	11	4	9	0	0	0	0
SPINK2	2	2	1	4	8	0	3	10	5	3	1	2
CTBP1-DT	591	192	349	251	395	402	206	323	532	506	460	394
ENSG00000289983	1	1	3	3	7	5	6	5	4	0	0	0
RNF212	1	10	1	11	28	18	10	19	2	2	2	0
LIMCH1	0	19	5	31	33	33	16	27	0	12	2	0
ENSG00000287210	0	1	0	4	2	0	0	0	0	0	0	0
LINC02174	0	14	0	13	26	7	8	24	0	0	0	0
ENSG00000251176	0	0	0	3	1	0	1	1	0	0	0	0
GALNTL6	2	49	0	33	62	46	20	44	15	0	1	5
ENSG00000248637	0	0	0	1	1	3	0	4	0	0	0	1
ENSG00000250892	2	1	1	0	7	5	1	0	4	2	0	3
ZNF876P	4	5	0	4	21	17	5	2	1	1	5	3
ZNF876P	2	0	1	1	0	0	0	3	3	0	1	1
ENSG00000251188	0	1	0	1	5	0	0	0	1	0	0	0
ENSG00000251689	0	0	0	0	3	0	0	0	0	0	0	0
ZNF732	1	3	3	4	12	11	12	7	5	0	0	2
ENSG00000286705	2	41	1	56	116	108	45	55	2	2	1	3
ENSG00000251535	2	10	4	11	35	37	14	15	1	2	2	0
ZNF141	404	71	368	95	173	138	65	108	372	447	480	268
ENSG00000248564	1	67	1	72	143	124	76	114	1	1	7	0
ENSG00000250321	147	0	47	0	0	0	0	0	137	52	53	92
MIR571	2	0	0	0	1	3	0	3	0	1	3	1
ENSG00000281016	2	1	0	0	5	3	1	1	0	4	2	3
ZNF519P4	0	0	0	0	0	3	2	0	0	0	0	0
ENSG00000272885	0	0	1	0	0	1	1	0	0	2	5	0
ABCA11P	9	1	21	2	11	0	3	9	11	19	9	13
ZNF721	402	32	258	34	80	65	29	63	311	230	293	222
GYPB	0	0	0	3	4	3	1	6	0	0	0	1
UGT2B28	0	1	0	1	4	1	3	11	0	0	0	0
ENSG00000251691	0	1	0	1	2	3	0	6	0	0	0	0
ENSG00000250612	0	2	0	0	5	4	1	0	0	0	0	0
ENSG00000268209	0	1	0	0	0	0	1	4	0	0	0	0
UGT2B25P	0	4	0	5	3	3	1	4	0	0	0	0
ENSG00000248824	0	0	0	0	1	0	0	1	0	0	0	0
UGT2B24P	0	2	0	3	3	5	0	7	0	0	0	0
ENSG00000250828	0	1	0	3	5	1	2	1	0	0	0	0
ENSG00000249686	0	1	0	0	0	4	0	0	0	0	0	0
UGT2B4	0	4	0	7	9	3	0	12	0	0	0	0
UGT2A1	0	1	0	0	2	9	1	1	0	0	0	0
CTBP1	3926	192	2195	230	348	225	144	290	4038	4206	3292	2292
CFAP299	1	21	0	32	37	18	18	19	3	0	1	0
ENSG00000232327	0	0	0	5	2	10	3	3	0	0	0	0
BMP3	12	24	3	45	62	42	28	54	19	7	3	4
PRKG2	1	13	3	8	40	15	7	12	0	0	3	0
PRKG2-AS1	0	0	0	3	6	1	2	1	0	0	0	0
RNU5A-2P	0	0	0	0	0	0	1	0	0	0	0	0
BMPR1B-DT	0	1	0	2	4	0	2	2	2	0	0	0
BMPR1B	0	26	0	15	41	41	11	20	10	2	3	1
UNC5C	0	21	1	31	35	32	18	42	4	0	2	0
UNC5C-AS1	0	7	0	23	19	17	3	17	0	0	0	0
RPL30P6	0	0	0	1	2	2	0	0	0	0	0	0
EIF4E	633	78	276	85	151	129	67	103	627	369	382	392
TBCAP3	0	1	0	4	1	3	2	4	0	0	0	0
ENSG00000263923	0	15	0	8	28	23	11	25	0	1	0	0
FAM177A1P1	0	1	0	1	2	3	1	0	0	0	0	0
ENSG00000287512	0	6	0	0	6	6	1	8	0	0	1	0
RNU7-149P	0	0	0	1	0	0	0	0	0	0	0	0
NDUFS5P4	0	1	0	1	0	1	0	0	0	0	0	0
METAP1	1811	81	843	84	154	149	69	149	1977	1043	1063	1203
MIR3684	0	2	0	1	13	2	1	2	0	0	0	0
ABT1P1	1	0	0	3	2	1	1	2	0	0	0	1
ENSG00000272777	8	10	4	3	17	14	2	3	4	1	11	0
ADH5	2205	37	1089	56	75	71	27	61	2500	1165	1303	1719
ENSG00000246090	17	174	11	180	344	238	113	228	21	6	4	17
ADH4	0	5	0	7	21	12	3	14	0	0	0	1
PCNAP1	0	4	0	6	10	2	1	8	0	0	0	0
ADH6	0	7	4	10	19	18	10	15	1	0	1	2
ADH1A	0	2	0	6	15	9	2	11	0	0	1	0
ADH1B	0	13	66	25	42	34	10	37	0	16	13	0
ADH1C	0	4	0	4	12	13	5	3	2	3	2	1
MIR218-1	0	2	0	0	0	0	0	0	0	0	0	0
PACRGL	121	43	63	58	82	74	36	65	127	77	87	93
KCNIP4	1	1	4	3	10	5	1	10	0	0	1	1
ENSG00000272995	0	0	0	1	5	1	0	0	0	0	0	0
ENSG00000250243	0	3	0	0	5	3	0	3	0	0	0	0
MIR7978	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000286318	0	2	0	4	3	9	3	3	0	0	0	0
ENSG00000250092	0	2	0	3	0	6	0	3	0	0	0	0
RPL31P25	0	0	0	2	0	0	1	0	0	0	0	0
ENSG00000248343	0	3	0	1	1	1	0	2	0	0	0	0
KCNIP4-IT1	0	11	0	17	47	17	10	30	1	0	0	0
ARL9	0	10	0	7	27	15	5	22	3	1	0	0
HOPX	9	21	15	50	64	77	21	75	15	2	12	20
FRG1	518	51	285	73	128	121	55	72	566	317	314	409
MLLT10P2	0	3	0	1	8	5	3	0	0	0	0	0
ENSG00000271307	0	2	0	1	0	5	3	2	0	0	0	0
TUBB7P	0	0	0	0	0	0	0	1	0	0	0	0
RNA5SP174	0	1	0	1	1	5	0	2	0	0	1	0
RNA5SP175	0	0	0	0	0	1	0	2	0	0	0	2
DUX4L9	1	3	1	6	9	6	2	1	1	1	0	2
FRG2	0	2	0	1	0	1	1	1	0	0	0	0
RARRES2P4	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P1	2	0	0	0	1	0	0	0	6	4	0	0
CLUHP4	0	1	0	0	4	1	1	0	0	0	0	0
DBET	0	0	0	0	7	6	2	2	0	0	0	0
ENSG00000277162	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L8	0	0	0	1	0	4	1	0	0	0	0	0
DUX4L7	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L5	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L4	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L1	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L2	0	0	0	0	0	0	0	0	0	0	0	0
DUX4	0	0	0	1	0	0	0	1	0	0	0	0
RPL23AP84	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282994	0	0	0	0	0	0	0	0	0	0	0	0
TMEM129	1008	119	646	140	226	175	98	170	1082	747	814	624
LINC02265	0	49	2	50	111	140	58	71	5	0	5	2
CHRNA9	0	9	1	9	36	9	10	41	5	2	2	3
RNU7-74P	0	0	0	0	0	1	0	1	0	0	0	0
RBM47	1221	458	605	725	1052	871	450	1005	1005	1022	702	702
ENSG00000250893	0	12	0	16	16	18	10	30	3	2	0	0
ENSG00000242197	0	1	0	6	6	1	0	0	1	0	0	0
MIR4802	0	0	0	3	3	5	1	6	0	0	0	0
APBB2	563	89	70	174	174	132	65	227	228	353	157	99
TMEM33	710	151	481	217	275	227	145	262	652	575	520	410
ADAMTS3	0	10	1	22	32	26	13	26	0	0	0	1
ANKRD17-DT	3	40	4	78	139	92	59	107	8	7	6	4
ENSG00000221639	0	0	3	1	1	1	0	7	2	5	2	0
ENSG00000249976	0	1	0	0	2	3	0	7	0	0	0	0
ALB	3	7	0	10	17	11	4	15	4	0	0	6
AFP	0	6	0	25	16	7	7	13	1	0	0	0
AFM	0	2	0	9	15	9	4	12	0	0	0	0
PPEF2	0	19	0	19	13	15	10	11	0	0	2	0
RPS3A	7726	118	3108	174	335	210	118	243	7020	3451	3517	5685
SNORD73B	0	3	1	2	6	6	0	6	0	0	0	0
SH3D19	10	15	14	23	49	29	14	51	13	13	15	9
SNORD73A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270681	21	1	8	5	3	3	1	6	19	11	14	15
ENSG00000249012	0	1	0	0	3	0	1	1	0	0	0	0
